FK_COLLECTION_ID,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,END_CAPTURE_DATE,LATITUDE,LONGITUDE,MESH_SIZE,MESH_SIZE_COMMENT,IS_MISSING_PAIRED_DATA_EXISTS,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_IN_DATASHEET,IS_PRESENT_BUT_NOT_IN_DS,VIAL_BARCODE,CONTAINER_ARRAY_TYPE_ID,DNA_TRAY_WORKBENCH_ID,DNA_TRAY_CODE,DNA_TRAY_WELL_POS,DNA_TRAY_WELL_CODE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,AGENCY,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT
52497,125,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,E4,29,0000022123,W,3,I,,,,,,0,
52497,126,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,F4,30,0000022123,W,3,I,,,,,,0,
52497,127,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,G4,31,0000022123,W,3,I,,,,,,0,
52497,128,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,H4,32,0000022123,W,3,I,,,,,,0,
52497,129,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,A5,33,0000022123,W,3,I,,,,,,0,
52497,130,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,B5,34,0000022123,W,3,I,,,,,,0,
52497,131,Axillary Process,,,,0,0,,,,,,,,,3,1400002565,C5,35,0000022123,W,3,I,,,,,,0,
52497,1,Heart,,,,0,0,,,,,,,,,1,1400002563,A1,1,0000022114,W,2,I,,,,,,0,
52497,2,Heart,,,,0,0,,,,,,,,,1,1400002563,B1,2,0000022114,W,2,I,,,,,,0,
52497,3,Heart,,,,0,0,,,,,,,,,1,1400002563,C1,3,0000022114,W,2,I,,,,,,0,
52497,4,Heart,,,,0,0,,,,,,,,,1,1400002563,D1,4,0000022114,W,2,I,,,,,,0,
52497,5,Heart,,,,0,0,,,,,,,,,1,1400002563,E1,5,0000022114,W,2,I,,,,,,0,
52497,6,Heart,,,,0,0,,,,,,,,,1,1400002563,F1,6,0000022114,W,2,I,,,,,,0,
52497,7,Heart,,,,0,0,,,,,,,,,1,1400002563,G1,7,0000022114,W,2,I,,,,,,0,
52497,8,Heart,,,,0,0,,,,,,,,,1,1400002563,H1,8,0000022114,W,2,I,,,,,,0,
52497,9,Heart,,,,0,0,,,,,,,,,1,1400002563,A2,9,0000022114,W,2,I,,,,,,0,
52497,10,Heart,,,,0,0,,,,,,,,,1,1400002563,B2,10,0000022114,W,2,I,,,,,,0,
52497,11,Heart,,,,0,0,,,,,,,,,1,1400002563,C2,11,0000022114,W,2,I,,,,,,0,
52497,12,Heart,,,,0,0,,,,,,,,,1,1400002563,D2,12,0000022114,W,2,I,,,,,,0,
52497,13,Heart,,,,0,0,,,,,,,,,1,1400002563,E2,13,0000022114,W,2,I,,,,,,0,
52497,14,Heart,,,,0,0,,,,,,,,,1,1400002563,F2,14,0000022114,W,2,I,,,,,,0,
52497,15,Heart,,,,0,0,,,,,,,,,1,1400002563,G2,15,0000022114,W,2,I,,,,,,0,
52497,16,Heart,,,,0,0,,,,,,,,,1,1400002563,H2,16,0000022114,W,2,I,,,,,,0,
52497,17,Heart,,,,0,0,,,,,,,,,1,1400002563,A3,17,0000022114,W,2,I,,,,,,0,
52497,18,Heart,,,,0,0,,,,,,,,,1,1400002563,B3,18,0000022114,W,2,I,,,,,,0,
52497,19,Heart,,,,0,0,,,,,,,,,1,1400002563,C3,19,0000022114,W,2,I,,,,,,0,
52497,20,Heart,,,,0,0,,,,,,,,,1,1400002563,D3,20,0000022114,W,2,I,,,,,,0,
52497,21,Heart,,,,0,0,,,,,,,,,1,1400002563,E3,21,0000022114,W,2,I,,,,,,0,
52497,22,Heart,,,,0,0,,,,,,,,,1,1400002563,F3,22,0000022114,W,2,I,,,,,,0,
52497,23,Heart,,,,0,0,,,,,,,,,1,1400002563,G3,23,0000022114,W,2,I,,,,,,0,
52497,24,Heart,,,,0,0,,,,,,,,,1,1400002563,H3,24,0000022114,W,2,I,,,,,,0,
