silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,hatchery,otolith_mark_present,otolith_mark_id
PSTOCK16_84,PSTOCK16,84,0000015861,36,Heart-bulbus arteriosus,2016-09-09,M,AFK,YES,AFK14B
PSTOCK16_212,PSTOCK16,212,0000015869,20,Heart-bulbus arteriosus,2016-09-09,M,AFK,YES,AFK14B
PSTOCK16_983,PSTOCK16,983,0000015808,25,Heart-bulbus arteriosus,2016-09-06,F,AFK,YES,AFK14B
PSTOCK16_1220,PSTOCK16,1220,0000014550,33,Heart-bulbus arteriosus,2016-08-23,F,AFK,YES,AFK14B
PSTOCK16_2452,PSTOCK16,2452,0000014588,10,Heart-bulbus arteriosus,2016-08-29,F,AFK,YES,AFK14B
PSTOCK16_2560,PSTOCK16,2560,0000014557,22,Heart-bulbus arteriosus,2016-08-23,M,AFK,YES,AFK14B
PSTOCK16_3211,PSTOCK16,3211,0000014494,35,Heart-bulbus arteriosus,2016-08-17,M,WNH,YES,WNH14PINKB
PSTOCK16_3330,PSTOCK16,3330,0000015873,10,Heart-bulbus arteriosus,2016-09-10,M,AFK,YES,AFK14B
PSTOCK16_3400,PSTOCK16,3400,0000015872,32,Heart-bulbus arteriosus,2016-09-10,M,AFK,YES,AFK14B
PSTOCK16_3977,PSTOCK16,3977,0000014561,1,Heart-bulbus arteriosus,2016-08-27,F,AFK,YES,AFK14B
PSTOCK16_4138,PSTOCK16,4138,0000014618,18,Heart-bulbus arteriosus,2016-08-31,F,AFK,YES,AFK14B
PSTOCK16_4319,PSTOCK16,4319,0000014647,27,Heart-bulbus arteriosus,2016-09-02,M,AFK,YES,AFK14B
PSTOCK16_4620,PSTOCK16,4620,0000014592,33,Heart-bulbus arteriosus,2016-08-29,M,AFK,YES,AFK14B
PSTOCK16_5244,PSTOCK16,5244,0000014560,6,Heart-bulbus arteriosus,2016-08-27,F,WNH,YES,WNH14PINKB
PSTOCK16_5363,PSTOCK16,5363,0000015824,29,Heart-bulbus arteriosus,2016-09-07,F,AFK,YES,AFK14B
PSTOCK16_5540,PSTOCK16,5540,0000014563,14,Heart-bulbus arteriosus,2016-08-27,F,AFK,YES,AFK14B
PSTOCK16_5582,PSTOCK16,5582,0000015857,8,Heart-bulbus arteriosus,2016-09-08,M,AFK,YES,AFK14B
