dna_plate_id,dna_plate_well,silly,fish_id,tissue_type,sex,origin,date,comment,silly_source,sample,dwp_barcode,dwp_well,length_mm_meh,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63217,C2,PHOGAN16,6571,Heart-bulbus arteriosus,female,hatchery,2016-09-13T00:00:00Z,NA,PHOGAN16_6571,0000015905_24,0000015905,24,NA,YES,AFK14B,AFK,Intertidal
63217,D2,PHOGAN16,6637,Heart-bulbus arteriosus,female,hatchery,2016-09-02T00:00:00Z,NA,PHOGAN16_6637,0000015983_42,0000015983,42,453,YES,AFK14B,AFK,Upstream
63217,E2,PHOGAN16,6665,Heart-bulbus arteriosus,male,natural,2016-09-11T00:00:00Z,NA,PHOGAN16_6665,0000015929_22,0000015929,22,448,NO,NA,NA,Intertidal
63217,F2,PHOGAN16,6670,Heart-bulbus arteriosus,male,natural,2016-09-11T00:00:00Z,NA,PHOGAN16_6670,0000015929_27,0000015929,27,432,NO,NA,NA,Intertidal
63217,G2,PHOGAN16,6671,Heart-bulbus arteriosus,female,natural,2016-09-11T00:00:00Z,NA,PHOGAN16_6671,0000015929_28,0000015929,28,454,NO,NA,NA,Intertidal
63217,H2,PHOGAN16,6869,Heart-bulbus arteriosus,male,natural,2016-09-03T00:00:00Z,NA,PHOGAN16_6869,0000015990_34,0000015990,34,421,NO,NA,NA,Intertidal
63217,A3,PHOGAN16,7105,Heart-bulbus arteriosus,male,natural,2016-08-20T00:00:00Z,NA,PHOGAN16_7105,0000014518_30,0000014518,30,457,NO,NA,NA,Intertidal
63217,B3,PHOGAN16,7418,Heart-bulbus arteriosus,female,hatchery,2016-09-13T00:00:00Z,NA,PHOGAN16_7418,0000015896_7,0000015896,7,435,YES,WNH14PINKB,WNH,Intertidal
63217,C3,PHOGAN16,7769,Heart-bulbus arteriosus,male,hatchery,2016-09-01T00:00:00Z,NA,PHOGAN16_7769,0000014745_22,0000014745,22,433,YES,WNH14PINKB,WNH,Intertidal
63217,D3,PHOGAN16,7935,Heart-bulbus arteriosus,male,hatchery,2016-08-27T00:00:00Z,NA,PHOGAN16_7935,0000014696_44,0000014696,44,450,YES,WNH14PINKB,WNH,Upstream
63217,E3,PHOGAN16,7975,Heart-bulbus arteriosus,female,natural,2016-08-28T00:00:00Z,NA,PHOGAN16_7975,0000014688_36,0000014688,36,442,NO,NA,NA,Intertidal
63217,F3,PHOGAN16,8056,Heart-bulbus arteriosus,female,natural,2016-08-24T00:00:00Z,NA,PHOGAN16_8056,0000014667_21,0000014667,21,406,NO,NA,NA,Intertidal
63217,G3,PHOGAN16,8194,Heart-bulbus arteriosus,female,natural,2016-08-31T00:00:00Z,NA,PHOGAN16_8194,0000014734_15,0000014734,15,426,NO,NA,NA,Upstream
63217,H3,PHOGAN16,8239,Heart-bulbus arteriosus,male,hatchery,2016-08-20T00:00:00Z,NA,PHOGAN16_8239,0000014521_12,0000014521,12,448,YES,WNH14PINKB,WNH,Upstream
63217,A4,PHOGAN16,8303,Heart-bulbus arteriosus,male,natural,2016-09-06T00:00:00Z,NA,PHOGAN16_8303,0000016028_28,0000016028,28,430,NO,NA,NA,Intertidal
63217,B4,PHOGAN16,8503,Heart-bulbus arteriosus,female,natural,2016-09-02T00:00:00Z,NA,PHOGAN16_8503,0000014756_36,0000014756,36,436,NO,NA,NA,Intertidal
63217,C4,PHOGAN16,8603,Heart-bulbus arteriosus,male,hatchery,2016-09-02T00:00:00Z,NA,PHOGAN16_8603,0000014757_40,0000014757,40,413,YES,WNH14PINKB,WNH,Intertidal
63217,D4,PHOGAN16,8987,Heart-bulbus arteriosus,female,hatchery,2016-09-10T00:00:00Z,NA,PHOGAN16_8987,0000016069_40,0000016069,40,428,YES,WNH14PINKB,WNH,Upstream
63217,E4,PHOGAN16,9111,Heart-bulbus arteriosus,male,hatchery,2016-09-10T00:00:00Z,NA,PHOGAN16_9111,0000016076_20,0000016076,20,434,YES,AFK14B,AFK,Intertidal
63217,F4,PHOGAN16,9303,Heart-bulbus arteriosus,male,natural,2016-09-10T00:00:00Z,NA,PHOGAN16_9303,0000016077_20,0000016077,20,431,NO,NA,NA,Intertidal
63217,G4,PHOGAN16,9397,Heart-bulbus arteriosus,female,natural,2016-09-13T00:00:00Z,NA,PHOGAN16_9397,0000015909_18,0000015909,18,413,NO,NA,NA,Intertidal
63217,H4,PHOGAN16,9434,Heart-bulbus arteriosus,female,natural,2016-09-13T00:00:00Z,NA,PHOGAN16_9434,0000015900_7,0000015900,7,446,NO,NA,NA,Intertidal
63217,A5,PHOGAN16,9625,Heart-bulbus arteriosus,male,hatchery,2016-09-12T00:00:00Z,NA,PHOGAN16_9625,0000015935_13,0000015935,13,459,YES,WNH14PINKB,WNH,Intertidal
63217,B5,PHOGAN16,10054,Heart-bulbus arteriosus,female,natural,2016-08-30T00:00:00Z,NA,PHOGAN16_10054,0000014728_10,0000014728,10,419,NO,NA,NA,Intertidal
63217,C5,PHOGAN16,10079,Heart-bulbus arteriosus,male,natural,2016-08-30T00:00:00Z,NA,PHOGAN16_10079,0000014728_35,0000014728,35,421,NO,NA,NA,Intertidal
63217,D5,PHOGAN16,10311,Heart-bulbus arteriosus,female,natural,2016-09-13T00:00:00Z,NA,PHOGAN16_10311,0000015902_27,0000015902,27,NA,NO,NA,NA,Intertidal
63217,E5,PHOGAN16,10815,Heart-bulbus arteriosus,female,hatchery,2016-08-20T00:00:00Z,NA,PHOGAN16_10815,0000014507_3,0000014507,3,406,YES,WNH14PINKB,WNH,Intertidal
63217,F5,PHOGAN16,10901,Heart-bulbus arteriosus,male,natural,2016-08-20T00:00:00Z,NA,PHOGAN16_10901,0000014508_41,0000014508,41,435,NO,NA,NA,Intertidal
63217,G5,PHOGAN16,11090,Heart-bulbus arteriosus,male,natural,2016-08-29T00:00:00Z,NA,PHOGAN16_11090,0000014709_25,0000014709,25,450,NO,NA,NA,Intertidal
63217,H5,PHOGAN16,11123,Heart-bulbus arteriosus,male,hatchery,2016-09-11T00:00:00Z,NA,PHOGAN16_11123,0000015844_10,0000015844,10,439,YES,AFK14B,AFK,Intertidal
63217,A6,PHOGAN16,11197,Heart-bulbus arteriosus,male,hatchery,2016-09-11T00:00:00Z,NA,PHOGAN16_11197,0000016078_36,0000016078,36,453,YES,AFK14B,AFK,Intertidal
63217,B6,PHOGAN16,11219,Heart-bulbus arteriosus,male,hatchery,2016-09-07T00:00:00Z,NA,PHOGAN16_11219,0000016039_10,0000016039,10,450,YES,WNH14PINKB,WNH,Upstream
63217,C6,PHOGAN16,11247,Heart-bulbus arteriosus,female,natural,2016-09-07T00:00:00Z,NA,PHOGAN16_11247,0000016039_38,0000016039,38,447,NO,NA,NA,Upstream
63217,D6,PHOGAN16,12004,Heart-bulbus arteriosus,female,hatchery,2016-09-12T00:00:00Z,NA,PHOGAN16_12004,0000015941_23,0000015941,23,461,YES,AFK14B,AFK,Intertidal
63217,E6,PHOGAN16,12123,Heart-bulbus arteriosus,female,natural,2016-08-20T00:00:00Z,NA,PHOGAN16_12123,0000014509_46,0000014509,46,NA,NO,NA,NA,Intertidal
63217,F6,PHOGAN16,12157,Heart-bulbus arteriosus,male,hatchery,2016-09-05T00:00:00Z,NA,PHOGAN16_12157,0000016009_32,0000016009,32,401,YES,AFK14B,AFK,Upstream
63217,G6,PHOGAN16,12206,Heart-bulbus arteriosus,male,hatchery,2016-08-20T00:00:00Z,NA,PHOGAN16_12206,0000014517_33,0000014517,33,446,YES,AFK14B,AFK,Intertidal
63217,H6,PHOGAN16,12242,Heart-bulbus arteriosus,female,hatchery,2016-08-20T00:00:00Z,NA,PHOGAN16_12242,0000014516_21,0000014516,21,462,YES,AFK14B,AFK,Intertidal
63217,A7,PHOGAN16,12289,Heart-bulbus arteriosus,female,natural,2016-08-29T00:00:00Z,NA,PHOGAN16_12289,0000014710_20,0000014710,20,421,NO,NA,NA,Intertidal
63217,B7,PHOGAN16,12379,Heart-bulbus arteriosus,male,hatchery,2016-08-28T00:00:00Z,NA,PHOGAN16_12379,0000014690_14,0000014690,14,424,YES,WNH14PINKB,WNH,Intertidal
63217,C7,PHOGAN16,12498,Heart-bulbus arteriosus,female,natural,2016-08-28T00:00:00Z,NA,PHOGAN16_12498,0000014691_37,0000014691,37,456,NO,NA,NA,Intertidal
63217,D7,PHOGAN16,12857,Heart-bulbus arteriosus,male,hatchery,2016-09-07T00:00:00Z,NA,PHOGAN16_12857,0000016032_43,0000016032,43,458,YES,AFK14B,AFK,Intertidal
63218,A1,PHOGAN15,4305,Heart-bulbus arteriosus,male,hatchery,2015-09-01T00:00:00Z,NA,PHOGAN15_4305,0000002250_8,0000002250,8,372,YES,WNH13PINKB,WNH,Upstream
63218,B1,PHOGAN15,4380,Heart-bulbus arteriosus,female,hatchery,2015-09-01T00:00:00Z,NA,PHOGAN15_4380,0000002251_35,0000002251,35,368,YES,AFK13B,AFK,Upstream
63218,C1,PHOGAN15,4592,Heart-bulbus arteriosus,male,hatchery,2015-09-02T00:00:00Z,NA,PHOGAN15_4592,0000002256_7,0000002256,7,409,YES,WNH13PINKB,WNH,Intertidal
63218,D1,PHOGAN15,4874,Heart-bulbus arteriosus,male,hatchery,2015-09-02T00:00:00Z,NA,PHOGAN15_4874,0000002262_1,0000002262,1,367,YES,AFK13B,AFK,Intertidal
63218,E1,PHOGAN15,4924,Heart-bulbus arteriosus,female,natural,2015-09-02T00:00:00Z,NA,PHOGAN15_4924,0000002263_3,0000002263,3,372,NO,NA,NA,Intertidal
63218,F1,PHOGAN15,5214,Heart-bulbus arteriosus,male,hatchery,2015-09-05T00:00:00Z,NA,PHOGAN15_5214,0000002515_5,0000002515,5,366,YES,WNH13PINKB,WNH,Upstream
