dna_plate_id,dna_plate_well,silly_source,silly_indiv,fish_id_indiv,tissue_type,sex_indiv,origin_indiv,date,comment,sample,silly_paired,fish_id_paired,dwp_barcode,dwp_well,sample_date,sex_paired,length_mm_meh,origin_paired,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63213,A5,PCANN15_159,PCANN15,159,Axillary Process,female,hatchery,2015-09-16,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B5,PCANN15_160,PCANN15,160,Axillary Process,female,hatchery,2015-09-16,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C5,PCANN15_161,PCANN15,161,Axillary Process,female,hatchery,2015-09-16,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D5,PCANN15_162,PCANN15,162,Axillary Process,female,hatchery,2015-09-16,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A10,PDUCK14E_1,PDUCK14E,1,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B10,PDUCK14E_2,PDUCK14E,2,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C10,PDUCK14E_3,PDUCK14E,3,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D10,PDUCK14E_4,PDUCK14E,4,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E10,PDUCK14E_5,PDUCK14E,5,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F10,PDUCK14E_6,PDUCK14E,6,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G10,PDUCK14E_7,PDUCK14E,7,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H10,PDUCK14E_8,PDUCK14E,8,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
