Silly Code,FK_COLLECTION_ID,FK_FISH_ID,PK_TISSUE_TYPE,CAPTURE_LOCATION,CAPTURE_DATE,END_CAPTURE_DATE,LATITUDE,LONGITUDE,MESH_SIZE,MESH_SIZE_COMMENT,IS_MISSING_PAIRED_DATA_EXISTS,WELL_HAS_MORE_THAN_ONE_SAMPLE,IS_PRESENT_IN_DATASHEET,IS_PRESENT_BUT_NOT_IN_DS,VIAL_BARCODE,CONTAINER_ARRAY_TYPE_ID,DNA_TRAY_WORKBENCH_ID,DNA_TRAY_CODE,DNA_TRAY_WELL_POS,DNA_TRAY_WELL_CODE,STORAGE_ID,UNIT,SHELF_RACK,SLOT,EXHAUSTED_HOW,EXHAUSTED_BY,EXHAUSTED_DATE,AGENCY,OTHER_AGENCY_KEY,NUM_OTOLITHS_MISSING,OTO_INVENTORY_COMMENT
PAFK91H,2603,87,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,88,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,89,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,90,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,91,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,92,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,93,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,94,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,95,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,96,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,97,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,98,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,99,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,100,Heart,AFK Hatchery,1991-09-12,1991-09-12,,,,,,,,,,1,,,,,0000007358,99,447,B,,,,,,,
PAFK91H,2603,1,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,2,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,3,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,4,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,5,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,6,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,7,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,8,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,9,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,10,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,11,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,12,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,13,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,14,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,15,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,16,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,17,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,18,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,19,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,20,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,21,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,22,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,23,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,24,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,25,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,26,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,27,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,28,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,29,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,30,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,31,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,32,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,33,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,34,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,35,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,36,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,37,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,38,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,39,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,40,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,41,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,42,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,43,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,44,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,45,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,46,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,47,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,48,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,49,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,50,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,51,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,52,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,53,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,54,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,55,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,56,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,57,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,58,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,59,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,60,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,61,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,62,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,63,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,64,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,65,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,66,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,67,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,68,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,69,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,70,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,71,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,72,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
PAFK91H,2603,73,Muscle,AFK Hatchery,1991-09-12,1991-09-12,0,0,,,,,,,,1,,,,,0000007362,99,447,B,,,,,,,
