Lab Project ID,Plate ID,Silly Code,Fish,Well,Tissue Type
2666,63214,PGREG14E,1,B7,Axillary Process
2666,63214,PGREG14E,6,C7,Axillary Process
2666,63214,PGREG14E,7,D7,Axillary Process
2666,63214,PGREG14E,8,E7,Axillary Process
2666,63214,PGREG14E,10,F7,Axillary Process
2666,63214,PGREG14E,12,G7,Axillary Process
2666,63214,PGREG14E,13,H7,Axillary Process
2666,63214,PGREG14E,14,A8,Axillary Process
2666,63214,PGREG14E,15,B8,Axillary Process
2666,63214,PGREG14E,16,C8,Axillary Process
2666,63214,PGREG14E,17,D8,Axillary Process
2666,63214,PGREG14E,18,E8,Axillary Process
2666,63214,PGREG14E,20,F8,Axillary Process
2666,63214,PGREG14E,22,G8,Axillary Process
2666,63214,PGREG14E,24,H8,Axillary Process
2666,63214,PGREG14E,26,A9,Axillary Process
2666,63214,PGREG14E,28,B9,Axillary Process
2666,63214,PGREG14E,29,C9,Axillary Process
2666,63214,PGREG14L,1,D9,Heart
2666,63214,PGREG14L,2,E9,Heart
2666,63214,PGREG14L,3,F9,Heart
2666,63214,PGREG14L,4,G9,Heart
2666,63214,PGREG14L,5,H9,Heart
2666,63214,PGREG14L,6,A10,Heart
2666,63214,PGREG14L,7,B10,Heart
2666,63214,PGREG14L,8,C10,Heart
2666,63214,PGREG14L,9,D10,Heart
2666,63214,PGREG14L,75,E10,Heart
2666,63214,PGREG14L,76,F10,Heart
2666,63214,PGREG14L,77,G10,Heart
2666,63214,PGREG14L,78,H10,Heart
2666,63214,PGREG14L,79,A11,Heart
2666,63214,PGREG14L,80,B11,Heart
2666,63214,PGREG14L,81,C11,Heart
2666,63214,PGREG14L,82,D11,Heart
2666,63214,PGREG14L,83,E11,Heart
2666,63215,PDUCK13,11,A1,Axillary Process
2666,63215,PDUCK13,12,B1,Axillary Process
2666,63215,PDUCK13,13,C1,Axillary Process
2666,63215,PDUCK13,14,D1,Axillary Process
2666,63215,PDUCK13,15,E1,Axillary Process
2666,63215,PDUCK13,16,F1,Axillary Process
2666,63215,PDUCK13,17,G1,Axillary Process
2666,63215,PDUCK13,18,H1,Axillary Process
2666,63215,PDUCK13,19,A2,Axillary Process
2666,63215,PDUCK13,20,B2,Axillary Process
2666,63215,PDUCK13,21,C2,Axillary Process
2666,63215,PDUCK13,22,D2,Axillary Process
2666,63215,PDUCK13,23,E2,Axillary Process
2666,63215,PDUCK13,34,F2,Axillary Process
2666,63215,PDUCK13,37,G2,Axillary Process
2666,63215,PDUCK13,50,H2,Axillary Process
2666,63215,PDUCK13,51,A3,Axillary Process
2666,63215,PDUCK13,52,B3,Axillary Process
2666,63215,PDUCK13,56,C3,Axillary Process
2666,63215,PDUCK13,58,D3,Axillary Process
2666,63215,PDUCK13,59,E3,Axillary Process
2666,63215,PDUCK13,60,F3,Axillary Process
2666,63215,PDUCK13,62,G3,Axillary Process
2666,63215,PDUCK13,72,H3,Axillary Process
2666,63215,PDUCK13,73,A4,Axillary Process
2666,63215,PDUCK13,78,B4,Axillary Process
2666,63215,PSTOCK16,9,E6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,84,C4,Heart-bulbus arteriosus
2666,63215,PSTOCK16,212,D4,Heart-bulbus arteriosus
